country_iso3,year,source,indicator_code,indicator_short,value
ABW,1988,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,10056.2613927414
ABW,1988,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1988,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1988,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1988,worldbank,SP.ADO.TFRT,adolescent_fertility,57.938
ABW,1988,worldbank,SP.DYN.TFRT.IN,tfr,2.273
ABW,1988,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.5685291563943
ABW,1989,un,UN_18,mean_age_childbearing,26.72
ABW,1989,un,UN_41,female_population_15_49,17993.5
ABW,1989,un,UN_50,population_change,516.000000000005
ABW,1989,un,UN_66,crude_net_migration_rate,-2.918
ABW,1989,un,UN_67,median_age,30.6191838349805
ABW,1989,un,UN_83,child_dependency_ratio,36.4175977653631
ABW,1989,un,UN_86,total_dependency_ratio,47.5558659217877
ABW,1989,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,11507.2171509849
ABW,1989,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1989,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1989,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1989,worldbank,SP.ADO.TFRT,adolescent_fertility,59.254
ABW,1989,worldbank,SP.DYN.TFRT.IN,tfr,2.306
ABW,1989,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.4911225556494
ABW,1990,un,UN_18,mean_age_childbearing,26.771
ABW,1990,un,UN_41,female_population_15_49,17999.0
ABW,1990,un,UN_50,population_change,1570.0
ABW,1990,un,UN_66,crude_net_migration_rate,13.642
ABW,1990,un,UN_67,median_age,30.8243022529653
ABW,1990,un,UN_83,child_dependency_ratio,37.6840965880958
ABW,1990,un,UN_86,total_dependency_ratio,48.3896226523727
ABW,1990,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,12187.5363611898
ABW,1990,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1990,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1990,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1990,worldbank,SP.ADO.TFRT,adolescent_fertility,59.5
ABW,1990,worldbank,SP.DYN.TFRT.IN,tfr,2.345
ABW,1990,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.4328161744708
ABW,1991,un,UN_18,mean_age_childbearing,26.894
ABW,1991,un,UN_41,female_population_15_49,18129.5
ABW,1991,un,UN_50,population_change,2649.99999999999
ABW,1991,un,UN_66,crude_net_migration_rate,29.289
ABW,1991,un,UN_67,median_age,30.4889593334627
ABW,1991,un,UN_83,child_dependency_ratio,40.281540684548
ABW,1991,un,UN_86,total_dependency_ratio,50.237063126524
ABW,1991,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,13233.9905169683
ABW,1991,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
